CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT IN LITRES,SOIL_MOISTURE,HUMIDITY,RAINFALL
WHEAT,DRY,SEMI ARID,25,NORMAL,10.7,68,59,224.5550169
WHEAT,DRY,SEMI ARID,25,SUNNY,12.2,68,59,224.5550169
WHEAT,DRY,SEMI ARID,25,WINDY,11.7,68,59,224.5550169
WHEAT,DRY,SEMI ARID,25,RAINY,2.7,68,59,224.5550169
WHEAT,DRY,SEMI ARID,35,NORMAL,11.6,22,32,213.3560921
WHEAT,DRY,SEMI ARID,35,SUNNY,13.1,22,32,213.3560921
WHEAT,DRY,SEMI ARID,35,WINDY,12.6,22,32,213.3560921
WHEAT,DRY,SEMI ARID,35,RAINY,3.6,22,32,213.3560921
WHEAT,DRY,SEMI ARID,45,NORMAL,12.5,20,61,260.2634026
WHEAT,DRY,SEMI ARID,45,SUNNY,12.5,4,49,298.4018471
WHEAT,DRY,SEMI ARID,45,WINDY,14,20,61,260.2634026
WHEAT,DRY,SEMI ARID,45,RAINY,14,4,49,298.4018471
WHEAT,DRY,SEMI ARID,45,NORMAL,13.5,20,61,260.2634026
WHEAT,DRY,SEMI ARID,45,SUNNY,13.5,4,49,298.4018471
WHEAT,DRY,SEMI ARID,45,WINDY,4.5,20,61,260.2634026
WHEAT,DRY,SEMI ARID,45,RAINY,4.5,4,49,298.4018471
WHEAT,DRY,SEMI HUMID,25,NORMAL,9.5,68,59,224.5550169
WHEAT,DRY,SEMI HUMID,25,SUNNY,11,68,59,224.5550169
WHEAT,DRY,SEMI HUMID,25,WINDY,10.5,68,59,224.5550169
WHEAT,DRY,SEMI HUMID,25,RAINY,1.5,68,59,224.5550169
WHEAT,DRY,SEMI HUMID,35,NORMAL,10.4,22,32,213.3560921
WHEAT,DRY,SEMI HUMID,35,SUNNY,11.9,22,32,213.3560921
WHEAT,DRY,SEMI HUMID,35,WINDY,11.4,22,32,213.3560921
WHEAT,DRY,SEMI HUMID,35,RAINY,2.4,22,32,213.3560921
WHEAT,DRY,SEMI HUMID,45,NORMAL,11.35,20,61,260.2634026
WHEAT,DRY,SEMI HUMID,45,SUNNY,11.35,4,49,298.4018471
WHEAT,DRY,SEMI HUMID,45,WINDY,12.85,20,61,260.2634026
WHEAT,DRY,SEMI HUMID,45,RAINY,12.85,4,49,298.4018471
WHEAT,DRY,SEMI HUMID,45,NORMAL,12.35,20,61,260.2634026
WHEAT,DRY,SEMI HUMID,45,SUNNY,12.35,4,49,298.4018471
WHEAT,DRY,SEMI HUMID,45,WINDY,3.3,20,61,260.2634026
WHEAT,DRY,SEMI HUMID,45,RAINY,3.3,4,49,298.4018471
WHEAT,DRY,HUMID,25,NORMAL,7.82,68,59,224.5550169
WHEAT,DRY,HUMID,25,SUNNY,9.32,68,59,224.5550169
WHEAT,DRY,HUMID,25,WINDY,8.82,68,59,224.5550169
WHEAT,DRY,HUMID,25,RAINY,0.8,68,59,224.5550169
WHEAT,DRY,HUMID,35,NORMAL,8.85,22,32,213.3560921
WHEAT,DRY,HUMID,35,SUNNY,10.35,22,32,213.3560921
WHEAT,DRY,HUMID,35,WINDY,9.85,22,32,213.3560921
WHEAT,DRY,HUMID,35,RAINY,0.85,22,32,213.3560921
WHEAT,DRY,HUMID,45,NORMAL,9.7,20,61,260.2634026
WHEAT,DRY,HUMID,45,SUNNY,9.7,4,49,298.4018471
WHEAT,DRY,HUMID,45,WINDY,11.2,20,61,260.2634026
WHEAT,DRY,HUMID,45,RAINY,11.2,4,49,298.4018471
WHEAT,DRY,HUMID,45,NORMAL,10.7,20,61,260.2634026
WHEAT,DRY,HUMID,45,SUNNY,10.7,4,49,298.4018471
WHEAT,DRY,HUMID,45,WINDY,1.7,20,61,260.2634026
WHEAT,DRY,HUMID,45,RAINY,1.7,4,49,298.4018471
