SOIL_MOISTURE,TEMPERATURE,HUMIDITY,RAINFALL,STATUS
54,22,70,202.9355362,ON
12,20,40,226.6555374,OFF
34,26,35,263.9642476,ON
7,44,44,242.8640342,OFF
50,38,23,262.7173405,OFF
4,26,52,251.0549998,ON
15,34,58,271.3248604,ON
45,30,43,241.9741949,ON
47,4,42,230.4462359,OFF
19,41,22,221.2091958,ON
63,44,65,264.6148697,ON
88,34,41,250.0832336,ON
39,20,70,284.4364567,ON
65,43,44,185.2773389,OFF
50,27,50,209.5869708,ON
39,22,48,231.0863347,ON
18,33,44,276.6552459,ON
66,43,35,206.2611855,ON
68,25,59,224.5550169,ON
20,36,53,291.2986618,ON
40,17,35,185.4974732,ON
2,34,64,231.3843163,OFF
22,35,32,213.3560921,OFF
1,19,70,233.1075816,ON
5,23,27,224.0581164,ON
10,28,30,257.0038865,ON
25,13,66,271.3586137,ON
20,45,61,260.2634026,ON
40,29,39,240.0810647,OFF
26,13,70,197.9791215,ON
71,6,59,272.2017204,OFF
37,21,24,200.0882787,ON
76,12,47,224.6757231,OFF
44,24,45,270.4417274,ON
24,8,47,233.1321372,OFF
70,6,63,193.3473987,OFF
32,23,28,272.2999056,OFF
44,24,39,285.2493645,ON
4,45,49,298.4018471,ON
63,40,48,257.0343554,ON
49,29,55,248.7183228,ON
26,32,70,209.9001977,ON
58,32,38,200.834898,OFF
45,0,69,298.5601175,OFF
37,7,32,265.5355937,ON
16,44,57,183.6793207,OFF
75,2,31,196.9560008,OFF
82,16,62,233.0453455,OFF
72,28,21,210.8142087,OFF
53,1,51,253.7202781,OFF
