CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT
WHEAT,DRY,SEMI ARID,Oct-20,NORMAL,9.6
WHEAT,DRY,SEMI ARID,Oct-20,SUNNY,11
WHEAT,DRY,SEMI ARID,Oct-20,WINDY,10.6
WHEAT,DRY,SEMI ARID,Oct-20,RAINY,1.6
WHEAT,DRY,SEMI ARID,20-30,NORMAL,10.7
WHEAT,DRY,SEMI ARID,20-30,SUNNY,12.2
WHEAT,DRY,SEMI ARID,20-30,WINDY,11.7
WHEAT,DRY,SEMI ARID,20-30,RAINY,2.7
WHEAT,DRY,SEMI ARID,30-40,NORMAL,11.6
WHEAT,DRY,SEMI ARID,30-40,SUNNY,13.1
WHEAT,DRY,SEMI ARID,30-40,WINDY,12.6
WHEAT,DRY,SEMI ARID,30-40,RAINY,3.6
WHEAT,DRY,SEMI ARID,40-50,NORMAL,12.5
WHEAT,DRY,SEMI ARID,40-50,SUNNY,14
WHEAT,DRY,SEMI ARID,40-50,WINDY,13.5
WHEAT,DRY,SEMI ARID,40-50,RAINY,4.5
WHEAT,DRY,SEMI HUMID,Oct-20,NORMAL,8.4
WHEAT,DRY,SEMI HUMID,Oct-20,SUNNY,9.9
WHEAT,DRY,SEMI HUMID,Oct-20,WINDY,9.4
WHEAT,DRY,SEMI HUMID,Oct-20,RAINY,0.4
WHEAT,DRY,SEMI HUMID,20-30,NORMAL,9.5
WHEAT,DRY,SEMI HUMID,20-30,SUNNY,11
WHEAT,DRY,SEMI HUMID,20-30,WINDY,10.5
WHEAT,DRY,SEMI HUMID,20-30,RAINY,1.5
WHEAT,DRY,SEMI HUMID,30-40,NORMAL,10.4
WHEAT,DRY,SEMI HUMID,30-40,SUNNY,11.9
WHEAT,DRY,SEMI HUMID,30-40,WINDY,11.4
WHEAT,DRY,SEMI HUMID,30-40,RAINY,2.4
WHEAT,DRY,SEMI HUMID,40-50,NORMAL,11.35
WHEAT,DRY,SEMI HUMID,40-50,SUNNY,12.85
WHEAT,DRY,SEMI HUMID,40-50,WINDY,12.35
WHEAT,DRY,SEMI HUMID,40-50,RAINY,3.3
WHEAT,DRY,HUMID,Oct-20,NORMAL,6.9
WHEAT,DRY,HUMID,Oct-20,SUNNY,8.4
WHEAT,DRY,HUMID,Oct-20,WINDY,7.9
WHEAT,DRY,HUMID,Oct-20,RAINY,0.5
WHEAT,DRY,HUMID,20-30,NORMAL,7.82
WHEAT,DRY,HUMID,20-30,SUNNY,9.32
WHEAT,DRY,HUMID,20-30,WINDY,8.82
WHEAT,DRY,HUMID,20-30,RAINY,0.8
WHEAT,DRY,HUMID,30-40,NORMAL,8.85
WHEAT,DRY,HUMID,30-40,SUNNY,10.35
WHEAT,DRY,HUMID,30-40,WINDY,9.85
WHEAT,DRY,HUMID,30-40,RAINY,0.85
WHEAT,DRY,HUMID,40-50,NORMAL,9.7
WHEAT,DRY,HUMID,40-50,SUNNY,11.2
WHEAT,DRY,HUMID,40-50,WINDY,10.7
WHEAT,DRY,HUMID,40-50,RAINY,1.7
WHEAT,HUMID,DESERT,Oct-20,NORMAL,8.06
WHEAT,HUMID,DESERT,Oct-20,SUNNY,9.56
WHEAT,HUMID,DESERT,Oct-20,WINDY,9
