CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT
WHEAT,DRY,DESERT,Oct-20,NORMAL,10.54
WHEAT,DRY,DESERT,Oct-20,SUNNY,12
WHEAT,DRY,DESERT,Oct-20,WINDY,11.54
WHEAT,DRY,DESERT,Oct-20,RAINY,2.54
WHEAT,DRY,DESERT,20-30,NORMAL,11.5
WHEAT,DRY,DESERT,20-30,SUNNY,13
WHEAT,DRY,DESERT,20-30,WINDY,12.5
WHEAT,DRY,DESERT,20-30,RAINY,3.5
WHEAT,DRY,DESERT,30-40,NORMAL,12.4
WHEAT,DRY,DESERT,30-40,SUNNY,14
WHEAT,DRY,DESERT,30-40,WINDY,13.4
WHEAT,DRY,DESERT,30-40,RAINY,4.4
WHEAT,DRY,DESERT,40-50,NORMAL,13.6
WHEAT,DRY,DESERT,40-50,SUNNY,15
WHEAT,DRY,DESERT,40-50,WINDY,14.6
WHEAT,DRY,DESERT,40-50,RAINY,5.6
WHEAT,DRY,SEMI ARID,Oct-20,NORMAL,9.6
WHEAT,DRY,SEMI ARID,Oct-20,SUNNY,11
WHEAT,DRY,SEMI ARID,Oct-20,WINDY,10.6
WHEAT,DRY,SEMI ARID,Oct-20,RAINY,1.6
WHEAT,DRY,SEMI ARID,20-30,NORMAL,10.7
WHEAT,DRY,SEMI ARID,20-30,SUNNY,12.2
WHEAT,DRY,SEMI ARID,20-30,WINDY,11.7
WHEAT,DRY,SEMI ARID,20-30,RAINY,2.7
WHEAT,DRY,SEMI ARID,30-40,NORMAL,11.6
WHEAT,DRY,SEMI ARID,30-40,SUNNY,13.1
WHEAT,DRY,SEMI ARID,30-40,WINDY,12.6
WHEAT,DRY,SEMI ARID,30-40,RAINY,3.6
WHEAT,DRY,SEMI ARID,40-50,NORMAL,12.5
WHEAT,DRY,SEMI ARID,40-50,SUNNY,14
WHEAT,DRY,SEMI ARID,40-50,WINDY,13.5
WHEAT,DRY,SEMI ARID,40-50,RAINY,4.5
WHEAT,DRY,SEMI HUMID,Oct-20,NORMAL,8.4
WHEAT,DRY,SEMI HUMID,Oct-20,SUNNY,9.9
WHEAT,DRY,SEMI HUMID,Oct-20,WINDY,9.4
